r_id,user_id,rating,description,created_at,edited_at,review_on
6,8,100,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:08","0,5/16/2025 22:08",0
7,8,50,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:09","0,5/16/2025 22:09",0
8,8,100,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:10","0,5/16/2025 22:10",0
9,8,50,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:11","0,5/16/2025 22:11",0
10,8,100,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:12","0,5/16/2025 22:12",0
11,8,100,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:13","0,5/16/2025 22:13",0
12,8,30,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:14","0,5/16/2025 22:14",0
13,8,100,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:15","0,5/16/2025 22:15",0
14,8,100,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:16","0,5/16/2025 22:16",0
15,8,100,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:17","0,5/16/2025 22:17",0
16,8,100,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:18","0,5/16/2025 22:18",0
17,8,100,"""Walking this trail is like stepping into a different world altogether. The peaceful atmosphere and scenic beauty make it the perfect destination for a day of relaxation and rejuvenation. Whether you're hiking solo or with friends, you'll find plenty to appreciate along the way. Don't forget your camera – the photo opportunities are endless!""","0,5/16/2025 22:19","0,5/16/2025 22:19",0
18,8,90,"""From the moment we met our tour guide, we knew we were in good hands. They were professional, punctual, and well-prepared, ensuring that everything ran smoothly from start to finish. But what really made the experience memorable was their warm and friendly personality. They went out of their way to make us feel welcome and comfortable, and it felt more like exploring with a friend than a formal tour. I would highly recommend them to anyone looking for a top-notch guided experience.""","0,5/16/2025 22:20","0,5/16/2025 22:20",0
19,8,100,"""From the moment we met our tour guide, we knew we were in good hands. They were professional, punctual, and well-prepared, ensuring that everything ran smoothly from start to finish. But what really made the experience memorable was their warm and friendly personality. They went out of their way to make us feel welcome and comfortable, and it felt more like exploring with a friend than a formal tour. I would highly recommend them to anyone looking for a top-notch guided experience.""","0,5/16/2025 22:21","0,5/16/2025 22:21",0
20,8,20,"""From the moment we met our tour guide, we knew we were in good hands. They were professional, punctual, and well-prepared, ensuring that everything ran smoothly from start to finish. But what really made the experience memorable was their warm and friendly personality. They went out of their way to make us feel welcome and comfortable, and it felt more like exploring with a friend than a formal tour. I would highly recommend them to anyone looking for a top-notch guided experience.""","0,5/16/2025 22:22","0,5/16/2025 22:22",0
21,8,100,"""From the moment we met our tour guide, we knew we were in good hands. They were professional, punctual, and well-prepared, ensuring that everything ran smoothly from start to finish. But what really made the experience memorable was their warm and friendly personality. They went out of their way to make us feel welcome and comfortable, and it felt more like exploring with a friend than a formal tour. I would highly recommend them to anyone looking for a top-notch guided experience.""","0,5/16/2025 22:23","0,5/16/2025 22:23",0
22,8,50,"""From the moment we met our tour guide, we knew we were in good hands. They were professional, punctual, and well-prepared, ensuring that everything ran smoothly from start to finish. But what really made the experience memorable was their warm and friendly personality. They went out of their way to make us feel welcome and comfortable, and it felt more like exploring with a friend than a formal tour. I would highly recommend them to anyone looking for a top-notch guided experience.""","0,5/16/2025 22:24","0,5/16/2025 22:24",0
23,8,70,"""From the moment we met our tour guide, we knew we were in good hands. They were professional, punctual, and well-prepared, ensuring that everything ran smoothly from start to finish. But what really made the experience memorable was their warm and friendly personality. They went out of their way to make us feel welcome and comfortable, and it felt more like exploring with a friend than a formal tour. I would highly recommend them to anyone looking for a top-notch guided experience.""","0,5/16/2025 22:25","0,5/16/2025 22:25",0
24,8,80,"""From the moment we met our tour guide, we knew we were in good hands. They were professional, punctual, and well-prepared, ensuring that everything ran smoothly from start to finish. But what really made the experience memorable was their warm and friendly personality. They went out of their way to make us feel welcome and comfortable, and it felt more like exploring with a friend than a formal tour. I would highly recommend them to anyone looking for a top-notch guided experience.""","0,5/16/2025 22:26","0,5/16/2025 22:26",0
25,8,100,"""From the moment we met our tour guide, we knew we were in good hands. They were professional, punctual, and well-prepared, ensuring that everything ran smoothly from start to finish. But what really made the experience memorable was their warm and friendly personality. They went out of their way to make us feel welcome and comfortable, and it felt more like exploring with a friend than a formal tour. I would highly recommend them to anyone looking for a top-notch guided experience.""","0,5/16/2025 22:27","0,5/16/2025 22:27",0
