Name,Location,Type,Religious Affiliation,Rating,Features
Attraction 1,Bsharri,Culinary,None,9.1,"Beaches, Snow Activities, Ancient Ruins, Vegan Options"
Attraction 2,Tyre,Nature,Islam,9.5,"Historical Production, Hiking"
Attraction 3,Mount Leban,Nature,None,8.9,"Panoramic Views, Vegan Options, Traditional Dishes, Beaches"
Attraction 4,Tripoli,Historical,None,6.0,"Relaxing, Cultural Experience, Vegan Options, Religious Sites"
Attraction 5,Bsharri,Culinary,Islam,5.4,"Religious Sites, Vegan Options, Street Food"
Attraction 6,Baalbek,Historical,Islam,8.0,"Relaxing, Beaches, Hiking"
Attraction 7,Bsharri,Nature,None,5.3,"Markets, Ancient Ruins"
Attraction 8,Mount Leban,Nature,None,8.4,"Beaches, Snow Activities, Cultural Experience"
Attraction 9,Tripoli,Culinary,Islam,7.7,"Markets, Religious Sites, Hiking, Vegan Options"
Attraction 10,Tyre,Nature,Christianity,8.3,"Religious Sites, Workshops"
Attraction 11,Mount Leban,Culinary,Islam,8.0,"Panoramic Views, Scenic Views"
Attraction 12,Mount Leban,Historical,None,7.1,"Vegan Options, Scenic Views, Historical Production, Relaxing"
Attraction 13,Baalbek,Culinary,Islam,6.0,"Scenic Views, Workshops"
Attraction 14,Sidon,Culinary,Christianity,6.5,"Markets, Snow Activities, Workshops"
Attraction 15,Tripoli,Nature,Islam,7.6,"Historical Production, Relaxing, Workshops, Religious Sites"
Attraction 16,Byblos,Nature,None,8.3,"Snow Activities, Markets"
Attraction 17,Mount Leban,Culinary,Islam,8.9,"Street Food, Workshops"
Attraction 18,Sidon,Nature,None,8.8,"Panoramic Views, Local Cuisine, Street Food"
Attraction 19,Byblos,Nature,None,9.9,"Scenic Views, Hiking, Workshops"
Attraction 20,Tripoli,Nature,Islam,6.4,"Traditional Dishes, Religious Sites, Ancient Ruins"
Attraction 21,Beirut,Culinary,None,5.4,"Workshops, Religious Sites, Markets"
Attraction 22,Sidon,Nature,None,6.7,"Ancient Ruins, Relaxing, Historical Production"
Attraction 23,North Leban,Culinary,Christianity,8.7,"Traditional Dishes, Panoramic Views, Snow Activities"
Attraction 24,Beirut,Nature,Christianity,7.2,"Cultural Experience, Religious Sites"
Attraction 25,Baalbek,Historical,Christianity,9.1,"Traditional Dishes, Ancient Ruins, Roman Architecture, Markets"
Attraction 26,Bsharri,Nature,Christianity,7.7,"Local Cuisine, Vegan Options, Snow Activities"
Attraction 27,Tyre,Nature,None,9.6,"Beaches, Roman Architecture, Markets"
Attraction 28,North Leban,Culinary,Islam,9.7,"Street Food, Markets"
Attraction 29,Baalbek,Culinary,None,5.3,"Scenic Views, Ancient Ruins"
Attraction 30,Tripoli,Nature,None,7.3,"Religious Sites, Markets"
Attraction 31,Baalbek,Historical,None,8.0,"Scenic Views, Beaches, Ancient Ruins, Traditional Dishes"
Attraction 32,Bsharri,Nature,Islam,6.3,"Scenic Views, Workshops, Religious Sites, Street Food"
Attraction 33,Tripoli,Nature,Christianity,7.0,"Street Food, Snow Activities, Local Cuisine"
Attraction 34,North Leban,Historical,None,8.4,"Vegan Options, Relaxing"
Attraction 35,Bsharri,Culinary,None,6.1,"Scenic Views, Ancient Ruins, Relaxing"
Attraction 36,Byblos,Nature,Christianity,8.0,"Traditional Dishes, Historical Production, Vegan Options"
Attraction 37,Tyre,Culinary,None,8.5,"Roman Architecture, Hiking, Vegan Options"
Attraction 38,North Leban,Culinary,Islam,5.5,"Hiking, Markets, Cooking Classes"
Attraction 39,Byblos,Historical,None,7.5,"Beaches, Workshops, Snow Activities"
Attraction 40,North Leban,Historical,None,6.3,"Scenic Views, Relaxing"
Attraction 41,Tripoli,Culinary,Christianity,8.6,"Local Cuisine, Relaxing, Snow Activities"
Attraction 42,Byblos,Nature,None,5.9,"Roman Architecture, Local Cuisine, Markets, Ancient Ruins"
Attraction 43,Tyre,Culinary,None,9.5,"Snow Activities, Street Food"
Attraction 44,Bsharri,Nature,Islam,7.2,"Local Cuisine, Ancient Ruins"
Attraction 45,Mount Leban,Nature,Christianity,6.0,"Historical Production, Ancient Ruins"
Attraction 46,Baalbek,Historical,Christianity,7.2,"Traditional Dishes, Vegan Options, Panoramic Views"
Attraction 47,Beirut,Nature,Islam,7.0,"Local Cuisine, Relaxing, Cooking Classes, Vegan Options"
Attraction 48,Tyre,Nature,None,7.1,"Relaxing, Cultural Experience"
Attraction 49,Byblos,Culinary,Christianity,7.9,"Snow Activities, Vegan Options, Workshops"
Attraction 50,Mount Leban,Historical,Christianity,7.6,"Hiking, Scenic Views"
